"","time","actor1","actor2"
"397",20110.9166666667,"STATE.ST","TINY.BOYS"
"398",20116,"LINCOLN.HEIGHTS","CLOVER"
"399",20129,"CLOVER","LINCOLN.HEIGHTS"
"400",20160.8333333333,"TMC","CUATRO.FLATS"
"401",20258,"EASTLAKE","LINCOLN.HEIGHTS"
"402",20260.4166666667,"METRO.13","LOCKE"
"403",20304.8333333333,"STATE.ST","TINY.BOYS"
"404",20327.0833333333,"OPAL.ST","WHITE.FENCE"
"405",20664.75,"PRIMERA.FLATS","STATE.ST"
"406",21069.8,"OPAL.ST","VNE"
"407",21108.9166666667,"WHITE.FENCE","AVENUES"
"408",21123.3333333333,"VICKY.S.TOWN","KAM"
"409",21213,"TMC","STATE.ST"
"410",21285,"VNE","OPAL.ST"
"411",21291.5833333333,"VNE","OPAL.ST"
"412",21338.5,"CUATRO.FLATS","CLARENCE.ST"
"413",21358,"VICKY.S.TOWN","KAM"
"414",21569.5833333333,"METRO.13","WHITE.FENCE"
"415",21670.5,"CLOVER","PRIMERA.FLATS"
"416",21742.3333333333,"LINCOLN.HEIGHTS","EASTLAKE"
"417",21764.5,"CUATRO.FLATS","CLARENCE.ST"
"418",21796.5,"CLOVER","EASTLAKE"
"419",21817.6666666667,"LOWELL","LOCKE"
"420",21943.5,"CLOVER","LOCKE"
"421",21961.0833333333,"X18TH.STREET","ROSE.HILLS"
"422",22089.1666666667,"METRO.13","CLOVER"
"423",22178.4166666667,"MC.FORCE","TINY.DUKES"
"424",22203,"X18TH.STREET","HAPPY.VALLEY"
"425",22268.8333333333,"CLOVER","EASTLAKE"
"426",22342,"LINCOLN.HEIGHTS","EASTLAKE"
"427",22540,"OPAL.ST","VNE"
"428",22587.0166666667,"ROSE.HILLS","X18TH.STREET"
"429",22626.5,"LOWELL","LOCKE"
"430",22632,"VNE","OPAL.ST"
"431",22676,"KAM","LIL.EASTSIDE"
"432",22710.0833333333,"HAZARD","KAM"
"433",22825.5,"LOWELL","GLASELL.PARK"
"434",22927.0333333333,"KAM","SENTINEL.BOYS"
"435",22970,"LOCKE","METRO.13"
"436",23222.5,"KAM","VICKY.S.TOWN"
"437",23286.5833333333,"EVERGREEN","WHITE.FENCE"
"438",23378.5,"CLOVER","HAZARD"
"439",23417,"METRO.13","LOCKE"
"440",23449.25,"STATE.ST","PRIMERA.FLATS"
"441",23455.6666666667,"VNE","X8TH.STREET"
"442",23469,"STATE.ST","VICKY.S.TOWN"
"443",23475.25,"OPAL.ST","WHITE.FENCE"
"444",23540,"METRO.13","LOCKE"
"445",23614.25,"LOWELL","LOCKE"
"446",23625.0833333333,"WHITE.FENCE","EVERGREEN"
"448",23917.5,"CUATRO.FLATS","BOYLE.HEIGHTS"
"449",24102.5,"INDIANA.DUKES","VNE"
"450",24297.6666666667,"BREED.ST","WHITE.FENCE"
"451",24305.5,"OPAL.ST","EVERGREEN"
"453",24794,"CLOVER","EASTLAKE"
"454",24819.75,"KAM","STATE.ST"
"455",24883.75,"KAM","TINY.BOYS"
"456",24884,"HAPPY.VALLEY","LINCOLN.HEIGHTS"
"457",24985,"KAM","STATE.ST"
"458",25033,"EASTLAKE","LINCOLN.HEIGHTS"
"459",25046.75,"CUATRO.FLATS","BREED.ST"
"461",25086.5,"TINY.DUKES","MC.FORCE"
